run,signal,rank,frequency_ghz,power,prominence
Bx,mz,1,173.66368976742754,1.803340702328256e-10,3.103945444777043e-11
Bx,mz,2,38.81894241860145,2.0614853055057817e-12,9.493815290686215e-13
Bx,mz,3,126.67233841859422,1.4498881898215514e-12,8.493369849487324e-13
Bx,E_total,1,173.66368976742754,6.224075900660693e-37,1.0161460308607876e-37
Bx,E_total,2,38.81894241860145,7.394869154149662e-39,3.8722173749310586e-39
Bx,E_total,3,126.67233841859422,4.965724484593905e-39,2.9033986069930458e-39
Bx,E_total,4,77.6378848372029,4.1445824520871083e-39,2.2754196368255962e-39
Bx,E_total,5,10.215511162789857,3.5057772334133335e-39,1.8107669598663694e-39
Bz,mx,1,12.25850932070599,1.558204157602886e-16,7.842702562865104e-17
Bz,mx,2,34.732443075333634,3.3266987716292794e-17,2.1742157998619974e-17
Bz,my,1,12.25850932070599,1.6714927840298174e-16,5.606905094747408e-17
Bz,my,2,34.732443075333634,4.6334532710425907e-17,3.544693757386483e-17
Bz,my,3,22.473933754627648,4.09422482406151e-17,2.1335912834986783e-17
Bz,my,4,51.077122169608295,2.937892512459756e-17,1.57911542677966e-17
Bz,mz,1,173.6622153766682,1.8843797612985706e-10,3.4263378686644454e-11
Bz,mz,2,38.8186128489023,2.8391253343688055e-12,1.5354673436813236e-12
Bz,mz,3,126.67126298062857,1.769499782608669e-12,1.2057289387934101e-12
Bz,mz,4,10.215424433921658,1.4170139779864632e-12,7.61416232356909e-13
Bz,mz,5,77.6372256978046,1.2896903949754505e-12,6.953441098693386e-13
Bz,E_total,1,173.6622153766682,6.237985250210692e-37,1.0174495944854434e-37
Bz,E_total,2,38.8186128489023,7.391860713741538e-39,3.8730050142455534e-39
Bz,E_total,3,126.67126298062857,5.003614397744165e-39,2.925603956731932e-39
Bz,E_total,4,77.6372256978046,4.148194403522367e-39,2.273516016041817e-39
Bz,E_total,5,10.215424433921658,3.5093135074651483e-39,1.8108093171082882e-39
